,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
1,40151,Entire home/apt,165163,2010-07-13,,0.3,9.0,9.0,10.0,10.0,10.0,94.0,71.0,$10.00,33300,30
5,222887,Entire home/apt,1156398,2011-09-14,100%,0.39,9.0,10.0,10.0,10.0,9.0,93.0,155.0,$100.00,33000,33
6,317273,Entire home/apt,1156398,2011-09-14,100%,0.33,9.0,10.0,10.0,10.0,10.0,98.0,130.0,$80.00,33000,17
7,317658,Entire home/apt,1156398,2011-09-14,100%,0.6,9.0,10.0,10.0,10.0,9.0,97.0,150.0,$100.00,33000,49
8,333031,Entire home/apt,1697156,2012-02-04,100%,2.61,10.0,10.0,10.0,10.0,10.0,98.0,75.0,$15.00,33000,211
9,333592,Entire home/apt,1699300,2012-02-04,100%,0.31,9.0,9.0,10.0,10.0,9.0,95.0,80.0,$30.00,33000,24
10,365993,Entire home/apt,1847986,2012-03-03,100%,0.3,9.0,9.0,10.0,10.0,10.0,98.0,85.0,$40.00,33130,24
11,400306,Entire home/apt,1998044,2012-03-24,,0.67,9.0,10.0,10.0,10.0,10.0,96.0,60.0,$15.00,33100,18
12,403245,Entire home/apt,2011519,2012-03-26,90%,3.77,9.0,9.0,10.0,9.0,9.0,87.0,59.0,$30.00,33000,302
16,426806,Entire home/apt,2122221,2012-04-12,100%,0.15,7.0,9.0,9.0,8.0,8.0,73.0,60.0,$40.00,33000,12
19,450324,Entire home/apt,1727412,2012-02-09,,0.17,9.0,8.0,10.0,10.0,9.0,90.0,78.0,,33150,13
20,457462,Entire home/apt,2273643,2012-05-02,100%,0.2,9.0,10.0,10.0,10.0,9.0,92.0,75.0,,33400,15
21,457640,Entire home/apt,2274580,2012-05-02,,0.67,10.0,9.0,10.0,10.0,10.0,96.0,80.0,$20.00,33400,51
22,458580,Entire home/apt,2280426,2012-05-03,,1.97,9.0,9.0,10.0,10.0,10.0,94.0,64.0,$30.00,33000,156
23,478369,Entire home/apt,2368861,2012-05-14,100%,0.14,10.0,9.0,10.0,10.0,10.0,89.0,114.0,$45.00,33000,9
24,482102,Entire home/apt,2387430,2012-05-16,,2.37,10.0,9.0,10.0,10.0,9.0,96.0,185.0,,33110,183
25,500193,Entire home/apt,2468244,2012-05-26,100%,1.89,9.0,9.0,9.0,9.0,8.0,85.0,75.0,,33800,142
26,536436,Entire home/apt,2635398,2012-06-14,,0.08,9.0,10.0,10.0,10.0,9.0,96.0,80.0,,33000,5
28,545440,Entire home/apt,2680968,2012-06-19,100%,0.49,9.0,9.0,10.0,10.0,10.0,96.0,200.0,$60.00,33300,37
30,555105,Entire home/apt,2683267,2012-06-19,70%,0.26,9.0,10.0,10.0,10.0,9.0,92.0,150.0,,33000,20
31,557526,Entire home/apt,2741181,2012-06-25,,0.15,9.0,9.0,10.0,10.0,9.0,78.0,79.0,$50.00,33400,8
32,558936,Entire home/apt,2747875,2012-06-26,100%,0.49,9.0,10.0,10.0,10.0,9.0,97.0,120.0,$40.00,33000,12
33,568013,Entire home/apt,1842076,2012-03-02,90%,0.26,9.0,10.0,10.0,10.0,10.0,96.0,90.0,$15.00,33000,19
34,582745,Entire home/apt,2870240,2012-07-08,100%,0.96,9.0,9.0,10.0,10.0,9.0,92.0,150.0,$50.00,33110,72
35,599263,Entire home/apt,2964570,2012-07-17,100%,1.06,9.0,10.0,10.0,10.0,9.0,99.0,130.0,$60.00,33000,27
36,600316,Entire home/apt,2969641,2012-07-17,93%,1.63,9.0,9.0,9.0,10.0,9.0,90.0,90.0,$25.00,33300,123
