,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
1944,9964122,Entire home/apt,3774373,2012-10-06,100%,4.86,9.0,10.0,10.0,9.0,8.0,86.0,9.0,$20.00,33000,42
7821,24572394,Shared room,134816584,2017-06-13,100%,3.61,10.0,9.0,10.0,10.0,8.0,89.0,10.0,$0.00,33170,23
9780,29606634,Private room,67318621,2016-04-15,70%,2.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0,,33520,2
6495,21077210,Shared room,61385879,2016-03-03,100%,2.11,9.0,10.0,10.0,9.0,6.0,81.0,12.0,$4.00,33800,25
4096,15004211,Private room,49095006,2015-11-15,,0.08,10.0,10.0,10.0,10.0,10.0,100.0,12.0,,33320,2
8586,26261732,Shared room,61385879,2016-03-03,100%,2.36,7.0,10.0,8.0,8.0,5.0,71.0,12.0,$4.00,33800,11
4422,16386706,Private room,8490764,2013-08-28,100%,0.28,10.0,10.0,10.0,10.0,10.0,100.0,13.0,$12.00,33150,6
1763,8839226,Private room,14796376,2014-04-27,,0.93,10.0,9.0,10.0,10.0,10.0,96.0,13.0,,33320,35
3208,13253524,Private room,74560511,2016-05-29,,0.07,10.0,10.0,10.0,10.0,9.0,100.0,13.0,$5.00,33000,2
5532,19141239,Private room,120784634,2017-03-14,100%,0.7,10.0,9.0,10.0,10.0,9.0,88.0,13.0,$0.00,33160,12
2991,13044223,Shared room,26683336,2015-01-25,,0.23,9.0,9.0,10.0,9.0,9.0,87.0,13.0,,33320,7
6798,21813515,Private room,92623321,2016-08-30,,0.75,10.0,10.0,10.0,10.0,9.0,93.0,13.0,,33800,8
8876,26924384,Shared room,61385879,2016-03-03,100%,1.71,8.0,10.0,10.0,10.0,6.0,70.0,13.0,$4.00,33800,6
3155,13191537,Private room,73837258,2016-05-24,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,14.0,,33800,1
6856,21974433,Private room,10615067,2013-12-14,,1.17,10.0,9.0,10.0,10.0,10.0,97.0,14.0,$48.00,33310,13
2027,10538865,Entire home/apt,54344958,2016-01-12,,0.03,10.0,8.0,8.0,8.0,8.0,80.0,14.0,,33000,1
8337,25727421,Private room,141825263,2017-07-22,92%,5.64,10.0,9.0,10.0,10.0,10.0,99.0,15.0,,33320,31
3441,13437842,Private room,76679831,2016-06-09,,0.17,10.0,9.0,10.0,10.0,9.0,90.0,15.0,,33440,5
4237,15714315,Entire home/apt,70927531,2016-05-08,,0.12,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,33800,1
4366,16156692,Private room,42005738,2015-08-20,88%,0.29,10.0,8.0,10.0,10.0,9.0,92.0,15.0,,33700,7
9239,27805270,Private room,139867845,2017-07-11,90%,0.77,10.0,10.0,10.0,10.0,9.0,100.0,15.0,$30.00,33270,2
3413,13420632,Shared room,52228744,2015-12-25,,0.07,,,,,,,15.0,$45.00,33310,2
8193,25342909,Private room,191383153,2018-05-24,90%,2.35,9.0,8.0,10.0,9.0,8.0,85.0,15.0,,33320,13
6295,20577862,Private room,77096363,2016-06-11,,0.34,10.0,10.0,10.0,10.0,9.0,96.0,15.0,,33600,5
1891,9665968,Private room,49952375,2015-11-26,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,33800,1
5961,19837848,Private room,21021871,2014-09-06,,1.32,10.0,9.0,10.0,9.0,10.0,95.0,15.0,$0.00,33530,19
9768,29581969,Private room,222686917,2018-10-26,100%,4.0,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,33530,4
5701,19404368,Private room,30104038,2015-03-27,,1.66,10.0,9.0,10.0,10.0,9.0,96.0,15.0,,33700,28
1901,9700633,Private room,50093808,2015-11-29,,1.02,10.0,9.0,10.0,10.0,10.0,97.0,15.0,,33520,15
6647,21451783,Entire home/apt,155714519,2017-10-22,,0.32,9.0,10.0,8.0,8.0,6.0,70.0,15.0,,33000,4
9615,29130288,Private room,33098714,2015-05-11,,1.0,10.0,10.0,10.0,10.0,8.0,100.0,15.0,,33140,1
6621,21380815,Private room,69319719,2016-04-28,,0.31,10.0,9.0,10.0,9.0,9.0,100.0,15.0,$15.00,33400,4
6838,21931091,Private room,54208749,2016-01-11,90%,0.09,,,,,,,15.0,$0.00,33700,1
5001,18189397,Shared room,4224956,2012-11-23,,1.03,10.0,10.0,10.0,10.0,10.0,94.0,15.0,$10.00,33000,20
4873,17836205,Private room,95229543,2016-09-15,,0.45,10.0,9.0,10.0,10.0,10.0,100.0,15.0,$9.00,33560,9
4782,17588584,Private room,6660677,2013-05-30,,0.1,10.0,10.0,9.0,9.0,9.0,100.0,15.0,,33100,2
5567,19181988,Shared room,108055040,2016-12-21,100%,0.59,9.0,9.0,9.0,9.0,9.0,84.0,15.0,$5.00,33100,10
4711,17377105,Private room,117432692,2017-02-21,,1.19,8.0,8.0,9.0,9.0,7.0,83.0,15.0,,33800,25
6867,22026904,Shared room,145936230,2017-08-14,100%,2.72,10.0,10.0,10.0,10.0,9.0,99.0,16.0,$0.00,33000,30
5762,19523871,Private room,120963406,2017-03-15,,0.31,10.0,10.0,10.0,10.0,9.0,100.0,16.0,,33800,5
3224,13259899,Private room,74166195,2016-05-26,,0.07,10.0,10.0,10.0,10.0,10.0,100.0,16.0,,33600,2
6310,20615175,Private room,77096363,2016-06-11,,0.08,10.0,8.0,10.0,10.0,10.0,100.0,16.0,,33600,1
8625,26330391,Entire home/apt,50354476,2015-12-02,100%,0.68,9.0,9.0,9.0,10.0,7.0,93.0,16.0,,33000,3
8745,26602211,Private room,21021871,2014-09-06,,1.97,10.0,10.0,10.0,10.0,10.0,100.0,16.0,,33530,8
5555,19168806,Private room,134054185,2017-06-08,,4.52,9.0,9.0,10.0,10.0,9.0,94.0,16.0,$0.00,33700,78
2693,12606389,Private room,68420941,2016-04-22,50%,0.58,9.0,9.0,9.0,10.0,8.0,85.0,16.0,$5.00,33270,18
537,3755668,Private room,19224420,2014-07-31,,0.23,9.0,9.0,9.0,9.0,9.0,95.0,16.0,,33800,12
1742,8724779,Private room,45790448,2015-10-05,100%,0.14,9.0,9.0,9.0,9.0,7.0,84.0,17.0,,33800,5
9447,28543477,Entire home/apt,106776424,2016-12-10,90%,1.2,10.0,10.0,10.0,10.0,10.0,100.0,17.0,,33160,2
7669,24246190,Private room,182808816,2018-04-06,100%,7.86,9.0,9.0,10.0,10.0,10.0,93.0,17.0,,33150,54
7921,24751507,Private room,187126854,2018-04-30,,0.75,9.0,10.0,10.0,10.0,8.0,85.0,17.0,$0.00,33000,5
9755,29541622,Private room,46630054,2015-10-15,100%,4.0,10.0,9.0,10.0,10.0,10.0,95.0,17.0,,33200,4
9613,29123657,Private room,219470089,2018-10-08,100%,1.0,6.0,8.0,10.0,10.0,4.0,60.0,17.0,,33150,1
1887,9643460,Private room,7592107,2013-07-19,,0.06,10.0,8.0,10.0,10.0,8.0,60.0,17.0,,33000,2
5778,19552865,Private room,101032269,2016-10-24,,0.06,,,,,,,17.0,,33130,1
3723,13797903,Shared room,38237689,2015-07-12,,0.28,10.0,10.0,10.0,10.0,10.0,98.0,17.0,,33000,8
1116,6500847,Private room,22431689,2014-10-12,100%,0.69,10.0,9.0,10.0,10.0,10.0,97.0,17.0,,33160,29
2937,12983266,Private room,8309935,2013-08-21,,0.04,,,,,,,18.0,,33100,1
4364,16153956,Private room,4882766,2013-01-28,,1.44,10.0,10.0,10.0,10.0,10.0,100.0,18.0,,33185,34
7882,24681842,Private room,17807803,2014-07-08,100%,3.84,10.0,9.0,10.0,10.0,10.0,98.0,18.0,,33300,26
2040,10615101,Private room,18128320,2014-07-15,100%,0.54,10.0,10.0,10.0,10.0,10.0,100.0,18.0,$5.00,33150,18
7244,23193467,Private room,10329589,2013-11-29,,0.11,,,,,,,18.0,,33320,1
