,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
8882,23371068,Shared room,56952209,2016-02-01,90%,1.67,9.0,8.0,8.0,8.0,8.0,85.0,9.0,$15.00,69001,14
100,804619,Private room,4197478,2012-11-20,70%,0.14,9.0,10.0,9.0,9.0,7.0,88.0,9.0,,69009,10
298,1858587,Entire home/apt,9434938,2013-10-15,,0.17,9.0,9.0,9.0,9.0,8.0,93.0,9.0,$10.00,69001,3
6388,19619854,Entire home/apt,27690760,2015-02-13,,3.1,10.0,10.0,10.0,10.0,10.0,98.0,9.0,,69005,52
3865,13120423,Shared room,38911425,2015-07-19,,0.03,,,,,,,10.0,$10.00,69001,1
3306,11550632,Private room,19010946,2014-07-28,,0.12,10.0,8.0,10.0,10.0,8.0,80.0,10.0,,69008,4
8626,22513837,Shared room,56952209,2016-02-01,90%,2.07,8.0,9.0,9.0,9.0,8.0,79.0,10.0,$15.00,69001,18
4102,13410100,Entire home/apt,40762367,2015-08-07,,0.07,8.0,10.0,9.0,10.0,10.0,90.0,11.0,$20.00,69001,2
2044,8040759,Private room,41802967,2015-08-18,,0.11,10.0,9.0,10.0,10.0,9.0,85.0,12.0,,69003,4
8557,22241590,Private room,162521900,2017-12-13,,0.27,10.0,10.0,10.0,10.0,9.0,100.0,12.0,,69007,3
2014,7878925,Private room,41531724,2015-08-15,100%,0.23,10.0,10.0,10.0,10.0,10.0,98.0,12.0,$0.00,69001,8
6374,19579865,Private room,8791313,2013-09-12,,0.12,2.0,2.0,2.0,2.0,2.0,20.0,12.0,,69008,2
6566,20010491,Entire home/apt,24704536,2014-12-10,,0.06,8.0,8.0,8.0,8.0,4.0,60.0,12.0,,69005,1
9293,24650134,Private room,68564590,2016-04-23,,0.75,10.0,8.0,10.0,10.0,10.0,88.0,13.0,,69008,5
10190,27686150,Shared room,3487476,2012-09-06,90%,2.22,10.0,9.0,9.0,10.0,10.0,97.0,13.0,$0.00,69500,6
9922,26811916,Private room,201499658,2018-07-11,100%,2.68,9.0,9.0,10.0,10.0,9.0,91.0,13.0,,69008,11
8830,23183076,Private room,172352017,2018-02-08,100%,2.25,9.0,9.0,10.0,10.0,8.0,95.0,13.0,$0.00,69003,21
10999,29649620,Shared room,223156468,2018-10-29,94%,3.0,6.0,7.0,6.0,6.0,6.0,50.0,13.0,,69100,3
6696,20304265,Private room,65585680,2016-04-03,,0.19,10.0,8.0,10.0,10.0,8.0,100.0,14.0,$15.00,69003,1
6365,19549557,Private room,93971659,2016-09-07,,0.13,10.0,10.0,10.0,10.0,10.0,100.0,14.0,,69003,2
4161,13488055,Private room,77270898,2016-06-12,,0.03,,,,,,,14.0,,69006,1
5191,16108659,Private room,105023075,2016-11-24,,0.21,10.0,9.0,10.0,10.0,10.0,95.0,14.0,,69009,5
4692,15032346,Private room,3103951,2012-07-30,85%,0.2,9.0,9.0,8.0,10.0,9.0,70.0,14.0,$35.00,69008,4
3478,12165201,Private room,47762071,2015-10-30,,0.22,9.0,9.0,10.0,10.0,9.0,90.0,14.0,,69007,7
5003,15891312,Private room,3103951,2012-07-30,85%,0.25,6.0,7.0,9.0,8.0,8.0,80.0,14.0,$38.00,69008,6
4023,13332326,Private room,75462031,2016-06-02,,0.03,10.0,10.0,10.0,10.0,8.0,100.0,15.0,,69003,1
3339,11716292,Shared room,34742611,2015-06-01,,1.45,9.0,9.0,10.0,10.0,8.0,88.0,15.0,,69007,47
10834,29426456,Shared room,204144372,2018-07-22,,1.0,,,,,,,15.0,,69008,1
6228,19130785,Private room,83315893,2016-07-12,,0.35,8.0,8.0,9.0,9.0,7.0,90.0,15.0,,69003,6
7818,21893400,Private room,101088850,2016-10-24,,0.19,,,,,,,15.0,$0.00,69007,1
4333,13738901,Private room,80422297,2016-06-28,,0.04,10.0,10.0,10.0,10.0,10.0,100.0,15.0,$10.00,69001,1
6056,18624188,Private room,83575353,2016-07-13,86%,0.54,10.0,10.0,10.0,10.0,8.0,91.0,15.0,,69004,10
3325,11632971,Private room,23663421,2014-11-12,,0.03,,,,,,,15.0,,69001,1
3308,11564539,Private room,56076401,2016-01-25,,0.09,7.0,9.0,10.0,10.0,6.0,73.0,15.0,,69007,3
4104,13411018,Entire home/apt,64807095,2016-03-28,,0.03,10.0,10.0,10.0,10.0,8.0,100.0,15.0,,69003,1
1082,4641761,Private room,24032808,2014-11-22,,0.03,10.0,10.0,10.0,10.0,10.0,80.0,15.0,,69001,1
3295,11470820,Private room,43981782,2015-09-12,,0.06,8.0,8.0,8.0,9.0,8.0,80.0,15.0,,69008,2
3955,13260746,Entire home/apt,74643960,2016-05-29,100%,0.37,9.0,9.0,10.0,10.0,8.0,87.0,15.0,$0.00,69007,11
10451,28530626,Private room,96281347,2016-09-22,100%,2.31,9.0,10.0,10.0,9.0,8.0,85.0,15.0,$5.00,69003,5
497,2828277,Private room,6755610,2013-06-05,100%,1.38,9.0,9.0,10.0,10.0,10.0,94.0,15.0,$10.00,69003,74
8990,23690318,Private room,175806790,2018-02-28,,5.52,10.0,9.0,10.0,10.0,9.0,93.0,15.0,,69009,44
3515,12245830,Private room,57713402,2016-02-07,,0.03,10.0,8.0,10.0,10.0,10.0,100.0,15.0,,69009,1
9059,23932925,Private room,95113821,2016-09-14,100%,4.17,10.0,9.0,10.0,10.0,10.0,98.0,15.0,$0.00,69007,25
10673,29100482,Shared room,15484286,2014-05-13,,1.0,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,69003,1
9032,23842167,Private room,105114680,2016-11-25,,0.51,10.0,10.0,10.0,10.0,10.0,95.0,15.0,,69003,4
10260,27921973,Shared room,19782821,2014-08-10,,0.46,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,69002,1
6782,20618344,Private room,3827108,2012-10-10,,0.36,9.0,10.0,10.0,10.0,10.0,92.0,15.0,$6.00,69007,5
1768,6886443,Entire home/apt,36085152,2015-06-17,100%,3.46,9.0,9.0,10.0,10.0,9.0,90.0,15.0,$10.00,69009,141
6793,20651880,Private room,147677282,2017-08-25,,0.07,,,,,,,15.0,$4.00,69005,1
10911,29529289,Private room,222354244,2018-10-24,100%,5.0,10.0,9.0,9.0,10.0,9.0,92.0,15.0,,69100,5
6610,20088402,Private room,137607479,2017-06-29,,0.07,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,69009,1
6915,20986156,Entire home/apt,107769989,2016-12-19,,0.85,10.0,10.0,10.0,10.0,10.0,98.0,15.0,$0.00,69001,12
6459,19775785,Private room,139600808,2017-07-10,,0.18,8.0,10.0,5.0,6.0,9.0,70.0,15.0,,69002,3
3703,12816816,Private room,52641964,2015-12-29,100%,0.31,10.0,10.0,10.0,10.0,10.0,93.0,15.0,$10.00,69008,9
1808,7033041,Private room,36871539,2015-06-27,,0.12,9.0,10.0,8.0,8.0,5.0,76.0,15.0,,69006,5
6733,20455472,Shared room,21813627,2014-09-26,30%,1.0,,,,,,,15.0,,69500,1
6984,21132889,Private room,12174967,2014-02-12,,0.88,10.0,10.0,10.0,10.0,9.0,90.0,15.0,$0.00,69005,12
6018,18500720,Private room,43027604,2015-08-31,,0.71,10.0,9.0,9.0,9.0,9.0,95.0,16.0,,69004,13
8795,23087185,Private room,8526203,2013-08-30,90%,1.97,10.0,10.0,10.0,10.0,9.0,95.0,16.0,,69002,18
5246,16153486,Private room,105427971,2016-11-28,,0.04,10.0,10.0,8.0,10.0,6.0,80.0,16.0,,69007,1
5881,18063579,Private room,28243778,2015-02-23,,0.92,10.0,10.0,10.0,10.0,10.0,100.0,16.0,,69004,18
9028,23826399,Private room,9374325,2013-10-11,100%,1.12,10.0,10.0,10.0,10.0,9.0,100.0,16.0,,69008,4
9700,26149929,Private room,45794161,2015-10-05,100%,0.81,10.0,10.0,10.0,10.0,10.0,100.0,16.0,$12.00,69007,4
8606,22419538,Private room,159082930,2017-11-17,100%,1.07,9.0,9.0,10.0,10.0,8.0,87.0,16.0,,69003,10
9955,26986787,Shared room,27573908,2015-02-11,100%,9.49,10.0,10.0,10.0,10.0,10.0,98.0,16.0,$0.00,69007,25
3212,11152904,Private room,6115580,2013-04-27,,0.09,9.0,9.0,10.0,10.0,8.0,87.0,16.0,,69003,3
6641,20179142,Private room,9241790,2013-10-05,,0.71,10.0,9.0,10.0,10.0,10.0,100.0,16.0,$0.00,69009,11
3388,11920415,Private room,16773742,2014-06-14,,0.06,9.0,9.0,10.0,9.0,8.0,90.0,16.0,,69007,2
6311,19398793,Shared room,50639109,2015-12-06,,0.46,10.0,10.0,10.0,10.0,9.0,100.0,16.0,,69007,8
3926,13217789,Entire home/apt,74135424,2016-05-26,,0.03,,,,,,,17.0,$5.00,69008,1
4321,13723067,Private room,61080190,2016-03-01,,0.04,10.0,10.0,10.0,10.0,10.0,100.0,17.0,$10.00,69007,1
4336,13740949,Private room,80443122,2016-06-28,,0.04,,,,,,,17.0,$10.00,69009,1
9983,27053082,Private room,194992511,2018-06-11,100%,0.26,10.0,10.0,10.0,10.0,10.0,100.0,17.0,,69007,1
6966,21102150,Private room,146741272,2017-08-19,75%,2.67,9.0,9.0,10.0,10.0,10.0,92.0,17.0,$4.00,69007,35
9380,24933353,Private room,11229058,2014-01-12,30%,1.18,9.0,9.0,10.0,10.0,7.0,90.0,17.0,$5.00,69003,7
2009,7833233,Private room,41250254,2015-08-12,100%,0.86,10.0,9.0,9.0,10.0,10.0,96.0,17.0,$5.00,69007,5
419,2201131,Private room,11229058,2014-01-12,30%,1.12,9.0,9.0,9.0,9.0,8.0,89.0,17.0,$5.00,69003,39
9071,23973255,Shared room,10699164,2013-12-18,,5.58,10.0,10.0,10.0,10.0,9.0,96.0,17.0,$4.00,69007,42
9232,24448741,Private room,162415981,2017-12-12,,2.22,10.0,10.0,10.0,10.0,9.0,94.0,17.0,$0.00,69002,16
