,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
0,30187,Entire home/apt,2923669,2012-07-13,96%,0.12,9.0,10.0,9.0,10.0,10.0,96.0,70.0,$35.00,69005,12
1,56766,Entire home/apt,269557,2010-10-24,70%,0.56,9.0,10.0,10.0,10.0,9.0,94.0,160.0,$60.00,69005,55
2,71455,Entire home/apt,365968,2011-01-28,100%,0.18,9.0,10.0,9.0,9.0,9.0,97.0,80.0,$35.00,69005,6
3,72545,Entire home/apt,376459,2011-02-04,,0.6,8.0,10.0,9.0,9.0,9.0,89.0,95.0,$35.00,69002,56
4,77104,Entire home/apt,411285,2011-02-26,100%,0.17,10.0,10.0,10.0,10.0,10.0,99.0,70.0,$20.00,69001,16
5,82195,Entire home/apt,447032,2011-03-17,67%,0.64,9.0,10.0,9.0,9.0,10.0,91.0,45.0,$0.00,69001,44
7,134539,Entire home/apt,660135,2011-06-03,50%,1.17,9.0,10.0,9.0,9.0,8.0,89.0,52.0,$25.00,69005,105
8,136556,Entire home/apt,668524,2011-06-05,100%,0.01,10.0,10.0,10.0,10.0,10.0,100.0,99.0,,69003,1
9,137132,Entire home/apt,670404,2011-06-06,,0.19,9.0,10.0,10.0,10.0,10.0,95.0,88.0,,69006,17
10,140216,Entire home/apt,683086,2011-06-09,83%,0.03,6.0,8.0,8.0,8.0,6.0,60.0,135.0,$30.00,69002,1
11,174304,Entire home/apt,832917,2011-07-18,100%,2.69,9.0,10.0,10.0,10.0,10.0,91.0,120.0,$62.00,69001,207
13,233372,Entire home/apt,1221417,2011-09-28,100%,1.75,9.0,10.0,10.0,10.0,9.0,94.0,70.0,$30.00,69005,150
14,251630,Entire home/apt,1319577,2011-10-21,,0.03,10.0,10.0,10.0,8.0,8.0,100.0,35.0,$0.00,69001,1
17,342674,Entire home/apt,1738855,2012-02-12,100%,1.82,9.0,9.0,10.0,10.0,10.0,96.0,155.0,$50.00,69003,142
18,349150,Entire home/apt,1769157,2012-02-18,100%,4.27,10.0,10.0,10.0,10.0,10.0,96.0,79.0,,69005,345
19,365998,Entire home/apt,1848025,2012-03-03,100%,0.89,9.0,10.0,10.0,10.0,10.0,97.0,65.0,,69001,70
21,387453,Entire home/apt,718463,2011-06-19,100%,0.79,9.0,10.0,10.0,10.0,9.0,92.0,160.0,$30.00,69001,63
24,422264,Entire home/apt,2099974,2012-04-09,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,80.0,,69008,2
26,469264,Entire home/apt,2329010,2012-05-09,,0.12,10.0,10.0,10.0,10.0,9.0,96.0,180.0,$30.00,69004,7
27,493830,Entire home/apt,2439586,2012-05-22,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,60.0,$30.00,69002,2
28,501479,Entire home/apt,2474627,2012-05-27,100%,0.97,9.0,9.0,10.0,10.0,10.0,97.0,79.0,,69003,76
29,504071,Entire home/apt,1399304,2011-11-12,,0.02,,,,,,,85.0,,69001,1
32,539495,Entire home/apt,2651072,2012-06-16,,0.07,8.0,9.0,10.0,10.0,9.0,85.0,60.0,$20.00,69003,4
34,551810,Entire home/apt,2711663,2012-06-22,100%,0.6,10.0,10.0,10.0,10.0,10.0,97.0,75.0,$30.00,69001,26
35,556834,Entire home/apt,2737842,2012-06-25,,1.66,9.0,9.0,10.0,10.0,10.0,94.0,90.0,$29.00,69006,128
36,565173,Entire home/apt,2778999,2012-06-29,,0.34,9.0,10.0,10.0,10.0,10.0,97.0,80.0,,69001,26
