,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
6,105104,Private room,546198,2011-04-30,,0.76,9.0,9.0,10.0,10.0,10.0,96.0,53.0,,69003,69
12,233309,Private room,1221016,2011-09-28,,0.12,9.0,8.0,10.0,10.0,10.0,96.0,30.0,$8.00,69003,10
15,298089,Private room,1221016,2011-09-28,,0.74,9.0,9.0,10.0,10.0,9.0,94.0,24.0,$6.00,69003,61
16,329950,Private room,1683652,2012-02-01,100%,0.22,10.0,9.0,10.0,10.0,9.0,93.0,65.0,$30.00,69003,16
20,369303,Private room,1862505,2012-03-05,100%,5.2,10.0,9.0,10.0,10.0,10.0,97.0,50.0,,69006,422
22,403747,Private room,2013310,2012-03-26,100%,5.5,9.0,10.0,9.0,10.0,9.0,92.0,39.0,$0.00,69002,442
25,452349,Private room,2247516,2012-04-29,100%,0.45,8.0,9.0,9.0,10.0,9.0,92.0,60.0,,69003,34
30,511325,Private room,2184847,2012-04-20,100%,3.49,10.0,9.0,10.0,10.0,10.0,95.0,29.0,,69008,273
31,525595,Private room,1221556,2011-09-28,43%,0.22,8.0,8.0,10.0,9.0,9.0,80.0,29.0,$10.00,69005,15
42,593123,Private room,2928155,2012-07-13,,0.1,10.0,9.0,10.0,10.0,10.0,97.0,25.0,,69007,6
43,605763,Private room,2572020,2012-06-07,0%,0.13,9.0,10.0,9.0,8.0,10.0,93.0,70.0,$45.00,69005,6
46,615644,Private room,3000226,2012-07-20,,2.02,9.0,10.0,10.0,10.0,10.0,94.0,54.0,,69003,153
50,635366,Private room,3165326,2012-08-05,100%,3.03,9.0,10.0,10.0,10.0,9.0,95.0,52.0,,69005,232
52,681291,Private room,3469111,2012-09-04,100%,0.32,9.0,9.0,10.0,10.0,10.0,94.0,49.0,$10.00,69004,20
61,714688,Private room,1966871,2012-03-19,100%,0.17,10.0,10.0,10.0,10.0,10.0,98.0,40.0,$30.00,69004,12
69,746054,Private room,3912388,2012-10-18,100%,0.22,10.0,10.0,10.0,10.0,10.0,96.0,58.0,,69003,16
75,758266,Private room,3994549,2012-10-28,,0.27,9.0,10.0,10.0,10.0,9.0,97.0,90.0,,69002,13
76,759321,Private room,3912388,2012-10-18,100%,0.57,9.0,10.0,10.0,10.0,10.0,96.0,57.0,,69003,40
98,802359,Private room,4197478,2012-11-20,70%,0.26,10.0,9.0,10.0,10.0,10.0,90.0,23.0,$0.00,69009,4
100,804619,Private room,4197478,2012-11-20,70%,0.14,9.0,10.0,9.0,9.0,7.0,88.0,9.0,,69009,10
102,812119,Private room,4269892,2012-11-28,100%,3.41,10.0,10.0,10.0,10.0,10.0,97.0,60.0,$10.00,69005,241
106,818799,Private room,4290958,2012-11-30,70%,0.28,10.0,9.0,10.0,10.0,10.0,98.0,60.0,,69003,20
107,819294,Private room,4303075,2012-12-02,,0.56,10.0,10.0,10.0,10.0,10.0,97.0,65.0,,69006,34
112,854300,Private room,4461521,2012-12-21,100%,0.38,10.0,9.0,10.0,10.0,10.0,98.0,43.0,$15.00,69009,23
121,911789,Private room,4890321,2013-01-29,90%,0.04,9.0,9.0,9.0,9.0,9.0,87.0,55.0,,69007,3
123,931623,Private room,5018632,2013-02-08,100%,0.2,10.0,10.0,10.0,10.0,10.0,100.0,33.0,$10.00,69001,12
125,932708,Private room,922924,2011-08-04,,0.44,10.0,9.0,10.0,10.0,10.0,98.0,39.0,$0.00,69007,29
133,993188,Private room,5313130,2013-03-04,100%,2.5,10.0,10.0,10.0,10.0,10.0,93.0,39.0,,69001,168
138,1033511,Private room,5687729,2013-03-30,75%,0.2,10.0,10.0,10.0,10.0,10.0,100.0,27.0,$15.00,69001,13
151,1119705,Private room,6143639,2013-04-29,,0.93,10.0,10.0,10.0,10.0,10.0,99.0,60.0,$30.00,69004,56
161,1193019,Private room,6520034,2013-05-22,67%,0.04,9.0,8.0,10.0,9.0,9.0,90.0,45.0,$35.00,69003,2
162,1197255,Private room,6540813,2013-05-23,100%,0.72,9.0,10.0,10.0,10.0,9.0,94.0,50.0,,69007,47
186,1299038,Private room,7063368,2013-06-23,100%,2.75,10.0,10.0,10.0,10.0,10.0,96.0,34.0,,69001,178
195,1341551,Private room,3103951,2012-07-30,85%,0.03,8.0,10.0,10.0,10.0,10.0,100.0,539.0,$95.00,69450,2
200,1357034,Private room,1651032,2012-01-25,,0.19,9.0,9.0,10.0,10.0,9.0,94.0,30.0,$20.00,69009,12
212,1411993,Private room,6181067,2013-05-01,,1.01,10.0,10.0,10.0,10.0,10.0,97.0,40.0,,69003,30
216,1439844,Private room,7458697,2013-07-13,100%,0.67,9.0,9.0,10.0,9.0,9.0,93.0,55.0,$5.00,69001,16
217,1449576,Private room,7779412,2013-07-28,100%,0.92,9.0,9.0,10.0,10.0,9.0,94.0,40.0,$8.00,69007,57
221,1471832,Private room,4219418,2012-11-22,100%,0.25,9.0,10.0,10.0,10.0,8.0,83.0,27.0,$15.00,69001,8
223,1479052,Private room,7914041,2013-08-03,100%,0.85,9.0,9.0,10.0,10.0,10.0,93.0,30.0,$8.00,69005,54
225,1489835,Private room,1736532,2012-02-11,100%,0.31,9.0,9.0,10.0,10.0,9.0,88.0,60.0,,69005,13
230,1503532,Private room,7927124,2013-08-04,43%,0.07,10.0,10.0,9.0,10.0,10.0,100.0,100.0,$0.00,69001,2
231,1504801,Private room,8040128,2013-08-09,93%,1.99,10.0,10.0,10.0,10.0,10.0,94.0,39.0,,69004,107
233,1518829,Private room,8106926,2013-08-12,100%,3.5,10.0,9.0,10.0,10.0,10.0,97.0,27.0,,69004,221
237,1551679,Private room,8263031,2013-08-19,100%,2.74,10.0,10.0,10.0,10.0,10.0,96.0,45.0,,69002,166
238,1553623,Private room,7855353,2013-07-31,100%,1.17,9.0,9.0,10.0,10.0,10.0,96.0,39.0,$10.00,69007,37
