,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
19,12268,Private room,47196,2009-10-20,,0.01,,,,,,,60.0,$20.00,75011,1
27,16626,Private room,64627,2009-12-20,,0.52,10.0,10.0,10.0,9.0,10.0,97.0,125.0,$75.00,75006,56
32,17919,Private room,20633,2009-06-08,100%,0.98,9.0,10.0,10.0,10.0,9.0,94.0,65.0,,75009,102
38,21167,Private room,80630,2010-02-12,100%,0.67,9.0,9.0,10.0,10.0,9.0,95.0,55.0,$0.00,75018,71
44,22384,Private room,85970,2010-02-27,100%,4.32,9.0,10.0,10.0,10.0,9.0,93.0,85.0,,75004,451
47,22979,Private room,89023,2010-03-06,100%,2.21,10.0,10.0,10.0,10.0,10.0,98.0,70.0,$20.00,75004,230
60,27008,Private room,115574,2010-04-29,100%,0.16,10.0,10.0,10.0,10.0,10.0,94.0,50.0,,75020,10
66,29713,Private room,128036,2010-05-19,100%,1.72,9.0,9.0,10.0,10.0,9.0,93.0,50.0,$30.00,75010,136
79,34453,Private room,148773,2010-06-21,100%,3.23,10.0,10.0,10.0,10.0,10.0,97.0,60.0,$15.00,75012,332
83,36490,Private room,156936,2010-07-02,90%,0.84,10.0,10.0,10.0,10.0,10.0,97.0,32.0,,75012,84
88,38303,Private room,146581,2010-06-17,100%,0.21,9.0,10.0,9.0,9.0,9.0,93.0,60.0,,75011,21
98,41077,Private room,178239,2010-07-23,,0.06,10.0,9.0,10.0,10.0,10.0,100.0,98.0,,75013,6
112,45630,Private room,202804,2010-08-16,80%,0.54,9.0,9.0,10.0,9.0,9.0,94.0,34.0,$9.00,75018,54
127,53567,Private room,247511,2010-09-28,,0.06,8.0,9.0,10.0,10.0,10.0,90.0,48.0,$30.00,75012,6
137,57207,Private room,129230,2010-05-21,95%,2.31,9.0,10.0,10.0,10.0,7.0,84.0,31.0,,75015,226
165,73458,Private room,93371,2010-03-15,74%,0.3,10.0,10.0,10.0,10.0,9.0,93.0,27.0,,75013,28
169,75709,Private room,402365,2011-02-21,100%,2.09,9.0,10.0,10.0,10.0,9.0,94.0,99.0,,75003,197
170,76348,Private room,407462,2011-02-24,,0.39,9.0,9.0,9.0,9.0,7.0,85.0,27.0,,75013,36
175,80301,Private room,433758,2011-03-10,100%,0.38,10.0,10.0,10.0,10.0,9.0,97.0,60.0,$50.00,75005,35
181,85145,Private room,402365,2011-02-21,100%,0.79,9.0,10.0,10.0,10.0,9.0,95.0,125.0,$0.00,75003,69
215,113114,Private room,575767,2011-05-10,100%,0.22,10.0,10.0,10.0,10.0,10.0,94.0,41.0,$7.00,75011,20
256,150800,Private room,726311,2011-06-21,68%,0.19,9.0,9.0,9.0,9.0,9.0,89.0,40.0,$20.00,75019,17
263,154984,Private room,726311,2011-06-21,68%,0.2,9.0,9.0,10.0,10.0,9.0,95.0,40.0,$20.00,75019,18
264,155072,Private room,726311,2011-06-21,68%,0.11,8.0,8.0,9.0,9.0,9.0,75.0,40.0,$20.00,75019,10
267,156649,Private room,209754,2010-08-22,0%,0.01,,,,,,,89.0,,75011,1
270,158027,Private room,758589,2011-06-29,100%,0.73,10.0,9.0,10.0,10.0,9.0,96.0,39.0,,75020,66
278,163384,Private room,726311,2011-06-21,68%,0.2,9.0,9.0,9.0,9.0,9.0,92.0,40.0,$20.00,75019,18
291,170327,Private room,811980,2011-07-12,0%,0.13,9.0,10.0,10.0,10.0,10.0,92.0,38.0,$40.00,75019,5
293,170670,Private room,810062,2011-07-12,100%,0.5,9.0,9.0,10.0,10.0,10.0,97.0,46.0,$15.00,75011,44
317,182830,Private room,805564,2011-07-11,,0.85,10.0,10.0,10.0,10.0,10.0,98.0,79.0,$20.00,75017,75
320,183913,Private room,882501,2011-07-28,,0.16,10.0,10.0,10.0,10.0,10.0,100.0,140.0,,75013,1
324,185842,Private room,892556,2011-07-30,100%,1.91,9.0,9.0,10.0,10.0,10.0,95.0,65.0,$10.00,75019,168
328,189378,Private room,913715,2011-08-03,100%,1.06,9.0,9.0,9.0,9.0,8.0,87.0,30.0,$20.00,75010,93
330,189589,Private room,914660,2011-08-03,33%,0.35,9.0,10.0,10.0,10.0,9.0,92.0,50.0,$10.00,75010,31
334,192540,Private room,932565,2011-08-06,100%,1.52,9.0,8.0,10.0,10.0,10.0,91.0,55.0,$30.00,75018,135
349,205140,Private room,1008345,2011-08-23,100%,1.04,9.0,9.0,10.0,10.0,10.0,98.0,75.0,$25.00,75012,79
360,214578,Private room,972051,2011-08-15,100%,2.5,9.0,9.0,10.0,10.0,10.0,93.0,60.0,$20.00,75010,220
366,216882,Private room,752877,2011-06-28,100%,0.13,9.0,10.0,10.0,10.0,9.0,96.0,70.0,$0.00,75004,11
370,220063,Private room,1140685,2011-09-11,100%,2.61,9.0,9.0,9.0,9.0,9.0,92.0,65.0,$15.00,75018,228
378,226556,Private room,1181306,2011-09-19,,0.26,9.0,10.0,10.0,9.0,10.0,96.0,70.0,,75003,21
391,233401,Private room,1221660,2011-09-28,,0.2,9.0,9.0,10.0,9.0,9.0,95.0,35.0,,75019,16
399,240938,Private room,1264200,2011-10-08,100%,6.05,9.0,9.0,9.0,9.0,9.0,86.0,55.0,,75002,522
400,241636,Private room,1268310,2011-10-09,100%,0.17,8.0,10.0,10.0,10.0,10.0,80.0,90.0,$20.00,75015,1
423,252525,Private room,1164453,2011-09-15,,4.49,9.0,10.0,10.0,9.0,9.0,93.0,55.0,$15.00,75002,363
425,254042,Private room,1334325,2011-10-25,100%,0.37,9.0,10.0,10.0,10.0,9.0,96.0,105.0,$20.00,75009,23
458,274137,Private room,1433599,2011-11-22,100%,0.02,9.0,7.0,10.0,10.0,9.0,90.0,37.0,,75010,2
468,277555,Private room,1449299,2011-11-28,100%,2.08,10.0,10.0,10.0,10.0,10.0,97.0,59.0,$25.00,75011,174
480,281965,Private room,1469624,2011-12-04,100%,0.48,9.0,10.0,10.0,10.0,10.0,95.0,45.0,$30.00,75012,36
497,287037,Private room,1493417,2011-12-11,,0.72,9.0,9.0,10.0,10.0,9.0,92.0,38.0,,75020,59
502,288170,Private room,1498078,2011-12-12,0%,0.01,10.0,10.0,10.0,10.0,8.0,100.0,50.0,,75020,1
505,289647,Private room,1503759,2011-12-14,100%,1.09,10.0,10.0,10.0,10.0,10.0,99.0,169.0,$35.00,75004,86
519,304920,Private room,1499918,2011-12-13,100%,0.78,10.0,10.0,10.0,10.0,10.0,98.0,75.0,$20.00,75009,65
538,314288,Private room,1614803,2012-01-16,100%,2.52,10.0,10.0,10.0,10.0,10.0,94.0,80.0,,75012,197
551,322539,Private room,1651361,2012-01-25,100%,2.32,9.0,10.0,9.0,10.0,9.0,89.0,55.0,$12.00,75017,193
560,326189,Private room,1606372,2012-01-14,90%,1.62,10.0,10.0,9.0,10.0,10.0,95.0,90.0,$25.00,75001,131
563,328695,Private room,1678893,2012-01-31,100%,1.56,10.0,9.0,10.0,10.0,10.0,98.0,100.0,$15.00,75010,127
570,333104,Private room,1697377,2012-02-04,90%,0.22,9.0,9.0,10.0,10.0,9.0,94.0,48.0,$15.00,75019,18
572,334304,Private room,1703088,2012-02-05,100%,1.31,9.0,10.0,9.0,9.0,10.0,90.0,80.0,$90.00,75006,108
575,335064,Private room,1706011,2012-02-06,83%,0.27,9.0,9.0,10.0,10.0,9.0,99.0,45.0,,75020,22
593,344258,Private room,1746199,2012-02-13,100%,2.08,10.0,10.0,10.0,10.0,10.0,98.0,50.0,,75011,170
600,347730,Private room,1762402,2012-02-16,100%,1.18,10.0,10.0,10.0,10.0,10.0,97.0,49.0,,75019,96
616,356213,Private room,1802844,2012-02-24,70%,0.9,9.0,10.0,10.0,9.0,10.0,95.0,118.0,$30.00,75008,73
622,364761,Private room,1842634,2012-03-02,93%,4.96,9.0,10.0,9.0,9.0,9.0,88.0,44.0,$30.00,75006,212
628,370970,Private room,1863342,2012-03-05,89%,0.25,9.0,9.0,10.0,9.0,10.0,95.0,60.0,,75010,20
650,391189,Private room,1956466,2012-03-18,,4.58,10.0,9.0,10.0,10.0,10.0,96.0,57.0,,75012,362
672,403522,Private room,2012441,2012-03-26,,1.68,10.0,10.0,10.0,10.0,10.0,99.0,110.0,$20.00,75016,134
681,406891,Private room,2026938,2012-03-28,100%,2.83,9.0,10.0,9.0,10.0,9.0,90.0,39.0,$15.00,75011,230
712,418557,Private room,758589,2011-06-29,100%,0.45,9.0,9.0,9.0,10.0,9.0,93.0,39.0,,75020,36
719,422107,Private room,2094629,2012-04-08,100%,1.89,9.0,10.0,10.0,10.0,10.0,95.0,90.0,$30.00,75015,149
721,422340,Private room,2100502,2012-04-09,100%,1.23,9.0,9.0,10.0,9.0,9.0,90.0,60.0,,75005,97
757,440959,Private room,805564,2011-07-11,,0.74,10.0,10.0,10.0,10.0,10.0,99.0,99.0,$20.00,75017,58
759,441972,Private room,810221,2011-07-12,,0.1,9.0,9.0,10.0,9.0,8.0,83.0,37.0,,75020,8
797,461906,Private room,2295760,2012-05-05,100%,0.69,10.0,10.0,10.0,10.0,10.0,99.0,120.0,$50.00,75015,51
802,462863,Private room,2300103,2012-05-05,50%,0.4,9.0,9.0,10.0,10.0,10.0,92.0,55.0,$20.00,75010,31
809,467782,Private room,2321891,2012-05-08,,1.82,10.0,10.0,10.0,10.0,9.0,89.0,28.0,,75018,52
830,476708,Private room,2362921,2012-05-13,100%,1.46,10.0,9.0,10.0,10.0,9.0,93.0,48.0,$12.00,75011,112
838,480074,Private room,2377825,2012-05-15,,0.13,10.0,10.0,10.0,10.0,9.0,95.0,35.0,$5.00,75019,8
840,480274,Private room,2378621,2012-05-15,,0.01,10.0,10.0,10.0,10.0,6.0,93.0,60.0,,75013,1
848,487228,Private room,2411321,2012-05-19,90%,0.48,9.0,9.0,10.0,10.0,9.0,89.0,39.0,,75019,32
852,489136,Private room,2419705,2012-05-20,100%,0.61,9.0,9.0,10.0,10.0,10.0,97.0,70.0,,75020,41
867,494642,Private room,2443942,2012-05-23,100%,0.14,10.0,10.0,10.0,10.0,10.0,100.0,45.0,,75019,10
885,503569,Private room,2483760,2012-05-28,,1.94,9.0,9.0,9.0,10.0,9.0,93.0,35.0,,75013,154
906,510651,Private room,2514214,2012-05-31,100%,3.72,10.0,9.0,10.0,10.0,10.0,98.0,85.0,$25.00,75019,282
910,510983,Private room,2593614,2012-06-10,60%,1.74,9.0,9.0,9.0,9.0,9.0,86.0,46.0,$0.00,75020,136
937,518231,Private room,2550681,2012-06-05,100%,0.37,9.0,10.0,10.0,10.0,10.0,96.0,160.0,,75005,29
946,522392,Private room,1697427,2012-02-04,100%,0.22,8.0,10.0,9.0,9.0,7.0,76.0,90.0,$45.00,75007,12
989,534568,Private room,2627161,2012-06-13,67%,1.67,9.0,10.0,10.0,10.0,9.0,95.0,39.0,$15.00,75005,131
1028,543779,Private room,2673177,2012-06-18,,0.76,9.0,10.0,10.0,10.0,9.0,94.0,57.0,$15.00,75006,60
1030,545381,Private room,2681154,2012-06-19,100%,1.11,9.0,10.0,10.0,10.0,10.0,96.0,50.0,,75010,68
1044,549226,Private room,2664648,2012-06-17,100%,2.22,8.0,8.0,9.0,9.0,9.0,81.0,28.0,$15.00,75020,173
1048,551145,Private room,2648017,2012-06-15,0%,0.93,9.0,9.0,10.0,9.0,8.0,90.0,36.0,,75010,73
1054,552916,Private room,2717451,2012-06-23,100%,1.18,10.0,10.0,10.0,10.0,10.0,98.0,42.0,$30.00,75020,73
1083,556673,Private room,2664648,2012-06-17,100%,2.34,8.0,8.0,9.0,9.0,8.0,78.0,29.0,$15.00,75020,182
1101,559091,Private room,2232067,2012-04-26,74%,0.27,7.0,8.0,9.0,8.0,7.0,87.0,70.0,$20.00,75011,20
1111,562643,Private room,2767647,2012-06-28,,0.07,9.0,9.0,9.0,9.0,9.0,93.0,55.0,$20.00,75014,5
1116,563431,Private room,2770712,2012-06-28,,0.28,9.0,10.0,10.0,10.0,10.0,100.0,56.0,,75011,22
1119,563652,Private room,2735949,2012-06-25,,0.04,10.0,8.0,10.0,10.0,10.0,100.0,60.0,$20.00,75018,2
1121,564052,Private room,2773631,2012-06-28,,0.1,9.0,8.0,10.0,10.0,9.0,100.0,35.0,,75018,3
1124,565243,Private room,2779670,2012-06-29,,0.31,9.0,9.0,10.0,10.0,9.0,94.0,55.0,,75020,23
1127,566456,Private room,2786324,2012-06-30,,0.02,,,,,,100.0,13.0,,75015,1
1137,567739,Private room,2793431,2012-07-01,100%,3.06,9.0,9.0,9.0,9.0,9.0,90.0,50.0,,75002,194
1148,571447,Private room,2812136,2012-07-02,100%,0.81,10.0,10.0,10.0,10.0,9.0,98.0,55.0,$11.00,75012,59
1151,572303,Private room,1313015,2011-10-19,,4.03,9.0,10.0,10.0,10.0,10.0,91.0,48.0,$19.00,75018,314
1161,576562,Private room,2836148,2012-07-05,,1.44,9.0,9.0,10.0,10.0,9.0,93.0,40.0,$30.00,75019,109
1166,577456,Private room,2839801,2012-07-05,90%,0.15,10.0,10.0,10.0,10.0,8.0,95.0,45.0,,75020,8
1180,581258,Private room,2860060,2012-07-07,,0.74,9.0,10.0,10.0,10.0,9.0,90.0,55.0,,75002,51
1198,584994,Private room,2882764,2012-07-09,,0.31,9.0,9.0,9.0,8.0,7.0,83.0,45.0,,75019,22
1218,588841,Private room,1570250,2012-01-05,100%,0.72,9.0,10.0,10.0,10.0,9.0,96.0,50.0,$15.00,75009,55
1226,591873,Private room,2922068,2012-07-13,100%,0.13,9.0,10.0,10.0,10.0,10.0,92.0,55.0,$0.00,75014,10
1231,592392,Private room,2518237,2012-06-01,100%,2.74,8.0,10.0,9.0,9.0,7.0,85.0,74.0,$0.00,75010,211
1239,594652,Private room,2937340,2012-07-14,100%,2.54,10.0,9.0,10.0,10.0,10.0,92.0,55.0,$20.00,75018,195
1253,597110,Private room,2334128,2012-05-09,85%,4.48,9.0,10.0,9.0,9.0,8.0,85.0,44.0,$15.00,75004,347
1259,599220,Private room,2964480,2012-07-17,,0.32,9.0,10.0,9.0,9.0,8.0,92.0,80.0,,75012,25
1288,606245,Private room,2954132,2012-07-16,,0.16,10.0,10.0,10.0,10.0,8.0,94.0,29.0,,75014,10
1294,608474,Private room,3016087,2012-07-22,,0.29,9.0,10.0,10.0,9.0,9.0,91.0,38.0,$25.00,75010,22
1324,614701,Private room,2194983,2012-04-22,70%,3.41,10.0,10.0,10.0,10.0,10.0,98.0,60.0,,75012,21
1330,615157,Private room,3049732,2012-07-25,100%,1.78,9.0,10.0,10.0,9.0,9.0,93.0,40.0,$20.00,75017,135
1338,618419,Private room,3063521,2012-07-26,100%,2.61,9.0,9.0,9.0,10.0,9.0,94.0,50.0,$15.00,75011,63
1339,618641,Private room,2247900,2012-04-29,100%,0.21,10.0,10.0,10.0,10.0,10.0,100.0,50.0,,75011,8
1355,622751,Private room,2664648,2012-06-17,100%,2.77,8.0,8.0,9.0,9.0,8.0,81.0,31.0,$15.00,75020,214
1368,629248,Private room,3125405,2012-08-01,100%,9.73,9.0,9.0,10.0,10.0,10.0,94.0,68.0,,75011,744
1376,632275,Private room,1684464,2012-02-01,,0.03,10.0,10.0,10.0,10.0,6.0,100.0,90.0,$50.00,75008,2
1392,636309,Private room,3098793,2012-07-30,,0.03,10.0,8.0,10.0,10.0,10.0,100.0,43.0,$5.00,75010,1
1393,636531,Private room,2664648,2012-06-17,100%,2.44,8.0,8.0,9.0,9.0,9.0,82.0,28.0,$15.00,75020,188
1394,636669,Private room,3174298,2012-08-06,,0.07,8.0,10.0,10.0,10.0,8.0,90.0,39.0,$20.00,75011,3
1404,642059,Private room,3208290,2012-08-09,100%,1.15,10.0,10.0,10.0,10.0,10.0,96.0,60.0,,75016,79
1407,643259,Private room,3204813,2012-08-09,100%,0.46,9.0,9.0,10.0,10.0,10.0,94.0,65.0,$20.00,75014,32
1411,645862,Private room,3234903,2012-08-12,,0.29,9.0,8.0,8.0,8.0,8.0,88.0,30.0,$15.00,75019,22
1414,646400,Private room,3239549,2012-08-12,93%,0.2,8.0,9.0,9.0,9.0,9.0,88.0,50.0,$30.00,75020,15
1431,655567,Private room,1849976,2012-03-03,,1.77,10.0,10.0,10.0,10.0,10.0,98.0,75.0,$50.00,75001,54
1432,656183,Private room,3304624,2012-08-19,73%,0.74,10.0,10.0,10.0,10.0,10.0,94.0,51.0,$7.00,75016,56
1436,656822,Private room,3309052,2012-08-19,100%,4.07,10.0,9.0,10.0,10.0,10.0,97.0,42.0,$9.00,75013,308
1446,661277,Private room,3338823,2012-08-22,100%,3.82,9.0,10.0,10.0,10.0,9.0,93.0,84.0,$7.00,75004,290
1454,665843,Private room,2789176,2012-06-30,100%,2.59,10.0,10.0,10.0,10.0,10.0,99.0,57.0,,75015,189
1458,666993,Private room,716205,2011-06-18,100%,0.26,9.0,10.0,10.0,10.0,9.0,100.0,45.0,,75020,3
1462,668533,Private room,3384208,2012-08-27,100%,1.58,10.0,10.0,10.0,10.0,10.0,97.0,69.0,$15.00,75003,119
1475,674328,Private room,3422556,2012-08-30,70%,1.93,9.0,9.0,9.0,9.0,8.0,89.0,24.0,$15.00,75020,146
1476,675171,Private room,3423371,2012-08-30,,0.34,9.0,9.0,9.0,9.0,9.0,92.0,39.0,$20.00,75018,26
1489,678427,Private room,3151583,2012-08-03,100%,0.04,7.0,10.0,10.0,10.0,10.0,60.0,60.0,$30.00,75011,2
1497,680431,Private room,3223818,2012-08-11,100%,0.11,10.0,10.0,10.0,10.0,9.0,100.0,80.0,$20.00,75010,3
1499,681812,Private room,3472554,2012-09-04,70%,0.2,10.0,9.0,10.0,10.0,10.0,98.0,45.0,$10.00,75014,15
1504,683932,Private room,3487149,2012-09-06,100%,1.61,9.0,8.0,9.0,9.0,9.0,90.0,69.0,$15.00,75018,121
1509,684789,Private room,604869,2011-05-19,,1.41,10.0,10.0,10.0,10.0,9.0,96.0,90.0,$36.00,75003,106
1519,688956,Private room,3518179,2012-09-09,,0.04,10.0,10.0,10.0,10.0,10.0,100.0,30.0,,75017,3
1525,690533,Private room,3527896,2012-09-10,83%,1.81,10.0,10.0,10.0,9.0,9.0,94.0,45.0,,75011,137
1528,691613,Private room,3398366,2012-08-28,100%,0.95,10.0,10.0,10.0,10.0,10.0,94.0,130.0,,75009,63
1529,691913,Private room,3398366,2012-08-28,100%,3.16,10.0,10.0,10.0,10.0,10.0,98.0,130.0,,75009,182
1530,691951,Private room,3398366,2012-08-28,100%,0.98,10.0,10.0,10.0,10.0,10.0,96.0,120.0,,75009,65
1551,701878,Private room,3239549,2012-08-12,93%,0.2,8.0,9.0,9.0,9.0,8.0,80.0,45.0,$30.00,75020,10
1562,706633,Private room,1302382,2011-10-17,,0.2,9.0,9.0,10.0,10.0,9.0,97.0,50.0,$15.00,75015,15
1583,713329,Private room,2869092,2012-07-08,100%,0.48,9.0,10.0,10.0,10.0,9.0,88.0,67.0,$50.00,75015,22
1613,728069,Private room,3775366,2012-10-06,100%,0.85,10.0,10.0,10.0,10.0,10.0,97.0,35.0,$10.00,75005,61
1620,729370,Private room,3788323,2012-10-07,100%,0.99,10.0,10.0,10.0,10.0,10.0,99.0,39.0,,75003,42
1624,730393,Private room,3798228,2012-10-08,100%,1.74,9.0,9.0,10.0,10.0,9.0,93.0,45.0,$6.00,75019,120
1634,733010,Private room,3713163,2012-09-30,,0.13,10.0,10.0,10.0,10.0,10.0,98.0,79.0,,75017,10
1641,735720,Private room,3838269,2012-10-11,100%,0.19,9.0,9.0,10.0,10.0,9.0,89.0,50.0,$18.00,75019,14
1644,736874,Private room,3846921,2012-10-12,100%,0.97,9.0,9.0,10.0,9.0,9.0,94.0,100.0,,75020,7
1673,748166,Private room,3929253,2012-10-20,100%,1.89,10.0,10.0,10.0,10.0,10.0,97.0,75.0,,75116,139
1680,751197,Private room,3910308,2012-10-18,,0.13,10.0,10.0,10.0,10.0,10.0,100.0,32.0,$40.00,75020,10
1686,752341,Private room,3955815,2012-10-23,100%,1.97,10.0,9.0,10.0,10.0,10.0,97.0,60.0,$20.00,75018,146
1687,752441,Private room,3559665,2012-09-13,100%,1.65,9.0,10.0,10.0,10.0,9.0,85.0,60.0,$15.00,75005,123
1689,753143,Private room,1606856,2012-01-14,98%,5.3,9.0,9.0,9.0,9.0,9.0,92.0,36.0,$15.00,75009,338
1694,755575,Private room,3976637,2012-10-25,,0.36,9.0,10.0,10.0,10.0,8.0,93.0,75.0,,75013,25
1696,756458,Private room,3982163,2012-10-26,100%,2.86,9.0,10.0,10.0,10.0,10.0,97.0,120.0,$40.00,75009,212
1714,761983,Private room,3983121,2012-10-26,,0.22,9.0,8.0,10.0,10.0,10.0,95.0,40.0,,75018,15
1719,763958,Private room,4027086,2012-10-31,100%,1.84,10.0,10.0,10.0,10.0,10.0,97.0,99.0,$40.00,75008,128
1745,770169,Private room,2232067,2012-04-26,74%,0.1,8.0,10.0,10.0,10.0,8.0,100.0,75.0,,75011,4
1749,770563,Private room,4065011,2012-11-05,70%,0.88,9.0,10.0,9.0,9.0,9.0,94.0,40.0,,75013,64
1751,770809,Private room,4066204,2012-11-05,88%,1.67,10.0,10.0,10.0,10.0,9.0,94.0,50.0,$15.00,75013,50
1769,778646,Private room,4105726,2012-11-09,100%,0.06,10.0,9.0,10.0,10.0,9.0,93.0,94.0,,75002,4
1790,784610,Private room,4137127,2012-11-13,,0.7,10.0,10.0,10.0,10.0,9.0,96.0,175.0,$40.00,75010,51
1803,787556,Private room,4151475,2012-11-14,,1.11,10.0,10.0,10.0,10.0,10.0,97.0,43.0,,75011,54
1807,788259,Private room,4155063,2012-11-15,92%,2.12,9.0,9.0,9.0,9.0,9.0,89.0,60.0,,75010,149
1811,790431,Private room,4164707,2012-11-16,77%,4.2,10.0,10.0,10.0,10.0,10.0,97.0,55.0,,75012,114
1823,793918,Private room,4182144,2012-11-18,100%,0.34,10.0,10.0,10.0,10.0,8.0,80.0,120.0,,75015,5
1828,795667,Private room,3559665,2012-09-13,100%,3.33,8.0,10.0,10.0,10.0,9.0,84.0,60.0,$20.00,75005,244
1831,796137,Private room,4193827,2012-11-19,80%,1.2,9.0,10.0,10.0,9.0,9.0,94.0,44.0,$40.00,75010,88
1835,796781,Private room,1290723,2011-10-14,85%,3.84,9.0,10.0,10.0,10.0,9.0,94.0,45.0,$12.00,75015,258
1842,797527,Private room,4065011,2012-11-05,70%,0.56,10.0,10.0,9.0,10.0,10.0,97.0,45.0,$0.00,75013,41
1845,797703,Private room,4200873,2012-11-20,86%,1.67,10.0,9.0,10.0,10.0,10.0,100.0,50.0,$15.00,75015,2
1847,797909,Private room,4201819,2012-11-20,0%,1.43,9.0,8.0,9.0,9.0,9.0,87.0,50.0,,75018,103
1856,799369,Private room,4179822,2012-11-18,100%,0.59,10.0,9.0,10.0,10.0,9.0,89.0,60.0,,75013,29
1865,802277,Private room,4218966,2012-11-22,83%,5.37,10.0,9.0,10.0,10.0,10.0,94.0,38.0,,75011,390
1866,802387,Private room,4223339,2012-11-23,100%,5.38,10.0,9.0,10.0,10.0,10.0,98.0,99.0,,75013,233
1887,809246,Private room,3889576,2012-10-16,,4.97,9.0,10.0,10.0,10.0,9.0,94.0,62.0,$30.00,75003,348
1888,809368,Private room,4258496,2012-11-27,100%,2.58,10.0,10.0,10.0,10.0,10.0,96.0,49.0,$0.00,75016,186
1898,811547,Private room,4267573,2012-11-28,100%,1.47,9.0,10.0,10.0,10.0,9.0,92.0,45.0,$30.00,75016,107
1901,812357,Private room,1984910,2012-03-21,,0.2,9.0,9.0,10.0,10.0,8.0,93.0,28.0,$20.00,75018,15
