,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
14494,21423332,Entire home/apt,7519321,2013-07-16,,0.18,8.0,10.0,10.0,9.0,9.0,90.0,0.0,$25.00,1058,2
13842,20597844,Entire home/apt,11974014,2014-02-05,100%,0.51,10.0,10.0,10.0,10.0,10.0,95.0,0.0,$40.00,1055 AA,8
13879,20644162,Entire home/apt,5011415,2013-02-08,,1.35,9.0,10.0,10.0,10.0,10.0,98.0,8.0,$55.00,1054 XJ,20
6635,11147683,Private room,34203893,2015-05-25,,0.12,10.0,9.0,10.0,10.0,9.0,90.0,19.0,,1056,4
10970,17093014,Private room,114647706,2017-02-03,94%,2.37,9.0,8.0,10.0,10.0,9.0,90.0,23.0,$15.00,1034,52
11614,18100432,Private room,114647706,2017-02-03,94%,3.08,9.0,9.0,10.0,10.0,10.0,94.0,24.0,$15.00,1034,62
15118,22159480,Private room,4278834,2012-11-29,50%,0.94,10.0,9.0,10.0,10.0,10.0,96.0,25.0,$15.00,1094,10
9418,14659123,Shared room,91055585,2016-08-21,,0.15,10.0,10.0,10.0,10.0,10.0,100.0,25.0,,1064 RN,4
14919,21908927,Private room,147887892,2017-08-27,,6.06,9.0,8.0,9.0,9.0,8.0,86.0,25.0,$10.00,1103 CE,76
17301,26116115,Private room,196317045,2018-06-18,,5.0,10.0,10.0,10.0,10.0,7.0,85.0,25.0,,1097 RK,5
2403,3803882,Shared room,19545944,2014-08-06,100%,0.07,,,,,,,25.0,$150.00,1102,2
9234,14368264,Private room,47479242,2015-10-26,100%,0.1,10.0,6.0,10.0,10.0,10.0,100.0,26.0,$45.00,1087,1
17168,25863400,Shared room,164061064,2017-12-24,100%,0.73,10.0,8.0,10.0,10.0,8.0,100.0,26.0,,1063 TH,2
4537,7447719,Private room,34158425,2015-05-25,,0.02,10.0,10.0,10.0,10.0,10.0,100.0,27.0,,1056,1
8828,13986711,Private room,83008351,2016-07-11,,0.04,8.0,8.0,10.0,10.0,8.0,80.0,28.0,,1059 AE,1
4770,7795822,Private room,27151799,2015-02-03,,0.74,10.0,10.0,10.0,10.0,10.0,99.0,28.0,$7.00,1069TD,23
230,432750,Entire home/apt,1725242,2012-02-09,67%,0.22,10.0,10.0,10.0,10.0,10.0,100.0,28.0,,1078,1
13030,19704153,Private room,138712816,2017-07-05,,0.06,10.0,10.0,10.0,10.0,8.0,80.0,28.0,,1106 JZ,1
9792,15294020,Private room,97368004,2016-09-30,,1.56,8.0,7.0,9.0,9.0,9.0,79.0,29.0,$5.00,1069,38
12341,18922329,Private room,42467828,2015-08-25,,0.48,9.0,8.0,9.0,10.0,7.0,88.0,29.0,,1106,9
585,821958,Shared room,336950,2011-01-06,100%,0.73,10.0,10.0,10.0,10.0,10.0,97.0,29.0,$20.00,1012 CK,53
14782,21758321,Private room,152010552,2017-09-25,,1.3,10.0,10.0,10.0,10.0,10.0,99.0,29.0,,1033 CW,16
15312,22387753,Private room,153866558,2017-10-09,,4.94,9.0,9.0,10.0,10.0,9.0,92.0,30.0,$20.00,1066AB,55
15625,22922084,Private room,89466606,2016-08-12,,0.13,8.0,6.0,8.0,8.0,8.0,80.0,30.0,$20.00,1069 EN,1
6612,11098408,Private room,3421572,2012-08-30,,0.28,10.0,9.0,10.0,10.0,10.0,100.0,30.0,$40.00,1060,8
16893,25203051,Private room,190420555,2018-05-19,,0.77,8.0,7.0,9.0,8.0,9.0,80.0,30.0,,1055 XT,5
14879,21866588,Shared room,159504101,2017-11-20,95%,8.1,9.0,9.0,9.0,9.0,7.0,86.0,30.0,,1062 HD,98
8456,13689873,Private room,79773652,2016-06-25,,0.07,7.0,9.0,9.0,9.0,6.0,90.0,30.0,,1079 VP,2
6281,10280513,Private room,35987026,2015-06-16,,0.07,8.0,6.0,9.0,7.0,8.0,70.0,30.0,,1106,2
18462,28123549,Entire home/apt,9612960,2013-10-24,80%,2.22,10.0,10.0,10.0,10.0,10.0,100.0,30.0,,1055 HE,4
5521,9110045,Private room,47479242,2015-10-26,100%,0.98,10.0,9.0,10.0,10.0,10.0,97.0,30.0,$49.00,1087,35
15784,23200525,Shared room,39444378,2015-07-24,,1.57,10.0,9.0,10.0,10.0,10.0,97.0,30.0,,1087 GT,15
15177,22209675,Private room,162293141,2017-12-11,,0.24,6.0,6.0,10.0,8.0,6.0,60.0,31.0,,1067,2
8969,14107315,Private room,2309801,2012-05-07,82%,0.14,9.0,9.0,10.0,10.0,9.0,95.0,32.0,,1055 ge,4
332,582280,Private room,2867494,2012-07-08,50%,3.4,9.0,8.0,10.0,10.0,8.0,87.0,32.0,$15.00,1064,241
12709,19339202,Entire home/apt,135485594,2017-06-17,,0.06,10.0,10.0,10.0,10.0,10.0,100.0,32.0,,1057,1
15400,22536016,Private room,3662474,2012-09-24,100%,1.52,10.0,9.0,10.0,10.0,10.0,98.0,32.0,,1066,17
14279,21170850,Private room,7369890,2013-07-09,100%,0.14,10.0,10.0,10.0,10.0,10.0,100.0,34.0,$20.00,1057 HJ,2
16449,24395184,Private room,184035231,2018-04-13,,0.29,9.0,10.0,10.0,9.0,9.0,90.0,34.0,,1073vz,2
9900,15457288,Private room,99170093,2016-10-11,,0.69,9.0,9.0,10.0,10.0,10.0,99.0,35.0,,1087,18
10357,16155754,Private room,24651625,2014-12-09,98%,7.24,9.0,9.0,9.0,9.0,7.0,83.0,35.0,,1112 LD,178
10671,16553722,Private room,47501089,2015-10-26,,0.6,10.0,8.0,10.0,10.0,10.0,96.0,35.0,$29.00,1106 SZ,14
14815,21789791,Private room,158787892,2017-11-15,,0.61,10.0,10.0,10.0,10.0,9.0,97.0,35.0,,1092 AX,7
12624,19232620,Private room,132444012,2017-05-29,100%,2.7,8.0,8.0,10.0,9.0,8.0,84.0,35.0,$75.00,1058,44
18496,28180306,Private room,212839622,2018-08-31,,3.63,9.0,8.0,9.0,9.0,9.0,89.0,35.0,$10.00,1102 RR,11
72,147270,Private room,711896,2011-06-17,100%,0.64,8.0,9.0,10.0,9.0,9.0,88.0,35.0,$0.00,1108,23
8100,13375268,Private room,69858108,2016-05-01,,0.03,8.0,10.0,10.0,10.0,8.0,100.0,35.0,,1094,1
8590,13797285,Shared room,12570608,2014-02-25,,0.07,9.0,10.0,10.0,10.0,10.0,100.0,35.0,$5.00,1094,2
18386,27971206,Private room,50097545,2015-11-29,100%,4.2,10.0,9.0,10.0,10.0,10.0,100.0,35.0,$8.00,1102 XJ,7
16873,25177209,Private room,188577795,2018-05-08,67%,2.0,9.0,8.0,10.0,10.0,9.0,91.0,35.0,$0.00,1035 CZ,13
19866,30423566,Private room,13797239,2014-04-02,,1.0,10.0,10.0,10.0,10.0,10.0,100.0,35.0,,1104 EA,1
5845,9602508,Private room,36129163,2015-06-18,,0.12,9.0,8.0,9.0,9.0,9.0,85.0,35.0,,1082,4
2503,3942085,Private room,3684584,2012-09-26,,1.87,10.0,9.0,9.0,10.0,10.0,96.0,35.0,,1035 AN,97
15850,23333384,Private room,53049256,2016-01-02,,4.82,9.0,8.0,10.0,10.0,10.0,95.0,35.0,$5.00,1104 LE,45
8774,13946666,Private room,29700524,2015-03-20,,0.07,8.0,8.0,8.0,8.0,8.0,90.0,35.0,$20.00,1064,2
15609,22874000,Private room,39530491,2015-07-25,100%,1.05,10.0,10.0,10.0,10.0,8.0,96.0,35.0,$5.00,1094 SZ,11
2391,3786000,Private room,19279371,2014-08-01,100%,5.42,9.0,9.0,10.0,10.0,9.0,93.0,35.0,$5.00,1054,285
15757,23155160,Private room,29638981,2015-03-19,,1.68,9.0,9.0,10.0,10.0,10.0,93.0,35.0,$15.00,1087,16
8444,13678506,Entire home/apt,79619999,2016-06-24,,0.42,9.0,9.0,10.0,9.0,10.0,95.0,35.0,,1024 HM,12
8365,13611328,Private room,78784301,2016-06-20,,0.58,9.0,8.0,10.0,10.0,9.0,88.0,35.0,,1034 CL,17
7733,12996166,Private room,71627285,2016-05-12,,0.03,,,,,,,35.0,,1079,1
15332,22409108,Private room,164034796,2017-12-24,,0.36,9.0,8.0,9.0,10.0,10.0,95.0,35.0,,1081 EA,4
14698,21656045,Private room,147934656,2017-08-27,,2.93,9.0,9.0,10.0,10.0,9.0,94.0,36.0,$30.00,1025 BG,30
9336,14536691,Private room,82062485,2016-07-06,,1.08,10.0,9.0,10.0,10.0,10.0,98.0,36.0,$5.00,1087,30
16631,24716449,Private room,172945735,2018-02-12,,3.23,10.0,9.0,10.0,10.0,10.0,100.0,36.0,$20.00,1103 JW,14
16136,23796716,Private room,31723933,2015-04-22,100%,1.21,9.0,9.0,10.0,10.0,10.0,98.0,37.0,$35.00,1061,8
13273,19917774,Private room,95525878,2016-09-17,,0.43,9.0,9.0,10.0,10.0,9.0,97.0,37.0,,1106BJ,7
16696,24812404,Private room,39600914,2015-07-26,100%,7.25,9.0,9.0,10.0,10.0,10.0,98.0,37.0,$50.00,1065 AC,51
5234,8601476,Private room,19081812,2014-07-29,,0.11,10.0,10.0,9.0,10.0,9.0,95.0,37.0,$20.00,1011,4
11203,17502167,Private room,19281840,2014-08-01,100%,9.25,9.0,9.0,10.0,10.0,9.0,95.0,37.0,,1077 CR,185
16113,23763726,Private room,178242387,2018-03-13,,0.57,10.0,10.0,10.0,10.0,10.0,100.0,37.0,,1107 WG,5
9533,14853175,Private room,92986064,2016-09-01,,5.7,9.0,9.0,10.0,10.0,10.0,96.0,37.0,$10.00,1034 MX,155
10779,16721908,Private room,20758206,2014-08-31,,0.05,4.0,6.0,4.0,8.0,4.0,60.0,37.0,,1079 JR,1
15594,22844174,Private room,47076311,2015-10-21,100%,7.18,9.0,9.0,10.0,10.0,9.0,90.0,37.0,,1102 TH,68
12814,19472363,Private room,84071616,2016-07-16,,0.44,10.0,9.0,10.0,10.0,10.0,93.0,38.0,$25.00,1102,7
13142,19804595,Private room,139883207,2017-07-11,100%,0.41,7.0,9.0,9.0,10.0,7.0,73.0,38.0,$10.00,1024,7
