,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
4,27886,Private room,97647,2010-03-23,100%,2.03,10.0,10.0,10.0,10.0,10.0,99.0,150.0,$0.00,1013,171
5,28658,Private room,123414,2010-05-12,100%,4.16,9.0,9.0,9.0,10.0,10.0,93.0,65.0,$15.00,1056,434
6,28871,Private room,124245,2010-05-13,100%,2.13,10.0,10.0,10.0,10.0,10.0,97.0,75.0,,1017,215
7,29051,Private room,124245,2010-05-13,100%,4.07,10.0,10.0,10.0,10.0,10.0,95.0,55.0,,1017,383
10,42970,Private room,187580,2010-08-01,100%,4.24,9.0,10.0,10.0,10.0,10.0,98.0,159.0,$35.00,1012,426
21,50523,Private room,231946,2010-09-12,100%,2.21,10.0,10.0,10.0,10.0,10.0,97.0,115.0,,1016,213
23,52490,Private room,185836,2010-07-30,,0.82,9.0,9.0,10.0,10.0,9.0,92.0,72.0,$0.00,1019,81
24,53067,Private room,246493,2010-09-27,100%,3.4,9.0,10.0,10.0,10.0,10.0,93.0,87.0,$25.00,1073,333
25,53671,Private room,247822,2010-09-28,100%,2.8,9.0,9.0,10.0,10.0,9.0,91.0,75.0,,1013 NN,261
26,53692,Private room,246493,2010-09-27,100%,2.4,9.0,9.0,9.0,9.0,9.0,91.0,60.0,$25.00,1073,219
27,55256,Private room,260785,2010-10-13,100%,1.26,9.0,10.0,10.0,10.0,9.0,92.0,86.0,$15.00,1011,120
30,55807,Private room,263844,2010-10-17,100%,1.53,9.0,9.0,10.0,10.0,10.0,97.0,60.0,$15.00,1057,150
35,58211,Private room,278253,2010-11-04,100%,1.05,10.0,10.0,10.0,10.0,10.0,97.0,225.0,$100.00,1016 EZ,82
42,68290,Private room,336950,2011-01-06,100%,6.1,9.0,10.0,10.0,10.0,10.0,96.0,109.0,$20.00,1012 CK,574
43,68873,Private room,336950,2011-01-06,100%,5.56,9.0,10.0,10.0,10.0,10.0,96.0,109.0,$20.00,1012 CK,527
44,69042,Private room,344312,2011-01-12,100%,1.41,9.0,10.0,10.0,10.0,9.0,92.0,116.0,$40.00,1016,131
48,75382,Private room,399879,2011-02-19,100%,1.93,9.0,9.0,10.0,10.0,9.0,95.0,105.0,$25.00,1093,178
49,75444,Private room,399879,2011-02-19,100%,2.69,9.0,9.0,10.0,10.0,9.0,94.0,70.0,$15.00,1093,246
50,76668,Private room,409579,2011-02-25,100%,1.31,10.0,10.0,10.0,10.0,10.0,98.0,135.0,,1013,39
51,80634,Private room,436145,2011-03-11,100%,1.92,9.0,10.0,9.0,10.0,10.0,92.0,180.0,,1013 GW,115
52,80635,Private room,436145,2011-03-11,100%,1.68,9.0,10.0,9.0,10.0,10.0,95.0,115.0,,1013,158
55,83498,Private room,124245,2010-05-13,100%,6.96,9.0,10.0,10.0,10.0,10.0,93.0,45.0,,1017,403
56,84057,Private room,459028,2011-03-23,90%,0.75,9.0,9.0,10.0,10.0,9.0,94.0,100.0,$15.00,1057,68
58,96048,Private room,510526,2011-04-15,100%,2.57,8.0,10.0,9.0,9.0,9.0,84.0,75.0,$25.00,1011,120
59,97221,Private room,195859,2010-08-09,,1.56,9.0,8.0,9.0,9.0,10.0,89.0,40.0,$50.00,1062,141
64,115795,Private room,468497,2011-03-28,,1.26,9.0,9.0,10.0,9.0,8.0,89.0,165.0,$50.00,1073,106
65,118097,Private room,538659,2011-04-27,100%,3.8,9.0,10.0,10.0,10.0,10.0,96.0,94.0,$0.00,1017,309
66,118117,Private room,596513,2011-05-17,100%,5.42,9.0,9.0,10.0,10.0,10.0,93.0,87.0,$25.00,1053,490
69,130390,Private room,642044,2011-05-30,,0.33,10.0,10.0,10.0,10.0,10.0,97.0,80.0,$30.00,1072,29
70,137026,Private room,670266,2011-06-06,90%,1.03,9.0,10.0,10.0,10.0,9.0,96.0,259.0,$50.00,1074,87
