,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
1,2695,Private room,2986,2008-09-16,,1.42,10.0,10.0,10.0,10.0,10.0,100.0,17.0,$0.00,10437,6
3,3309,Private room,4108,2008-11-07,,0.39,9.0,9.0,10.0,9.0,9.0,88.0,26.0,$30.00,10777,25
4,7071,Private room,17391,2009-05-16,100%,1.75,9.0,10.0,10.0,10.0,10.0,96.0,42.0,$0.00,10437,197
9,17409,Private room,67590,2010-01-04,100%,2.83,10.0,10.0,10.0,10.0,10.0,96.0,45.0,$18.00,10405,279
24,31440,Private room,135046,2010-05-30,90%,4.94,9.0,10.0,10.0,10.0,9.0,89.0,44.0,$15.00,10437,28
27,36480,Private room,156897,2010-07-02,100%,1.63,9.0,9.0,10.0,10.0,9.0,88.0,40.0,$5.00,10587,33
28,37004,Private room,159734,2010-07-06,,0.21,10.0,9.0,10.0,10.0,9.0,91.0,25.0,$0.00,10783,21
30,37836,Private room,272316,2010-10-27,90%,1.59,9.0,10.0,10.0,10.0,9.0,90.0,39.0,$20.00,10997,161
33,40600,Private room,174970,2010-07-20,,0.62,10.0,10.0,10.0,10.0,10.0,97.0,50.0,,10967,50
34,41217,Private room,179110,2010-07-24,,0.7,9.0,9.0,9.0,9.0,9.0,94.0,43.0,,10435,70
35,41306,Private room,179872,2010-07-25,,0.02,8.0,10.0,8.0,8.0,6.0,80.0,40.0,,10405,1
36,42742,Private room,272316,2010-10-27,90%,0.32,8.0,9.0,9.0,9.0,8.0,85.0,36.0,$20.00,10997,25
39,44083,Private room,193038,2010-08-06,86%,0.12,9.0,9.0,9.0,9.0,9.0,84.0,42.0,$20.00,12435,11
40,44423,Private room,194957,2010-08-08,,1.02,9.0,10.0,10.0,10.0,9.0,97.0,56.0,$25.00,10245,101
41,46161,Private room,201936,2010-08-15,,1.63,10.0,10.0,10.0,10.0,10.0,96.0,50.0,,10119,151
46,54952,Private room,258697,2010-10-11,,1.6,9.0,10.0,10.0,9.0,9.0,93.0,55.0,$10.00,10117,156
57,63052,Private room,307513,2010-12-02,100%,1.28,9.0,9.0,9.0,9.0,9.0,92.0,37.0,$25.00,12051,96
59,64245,Private room,312373,2010-12-07,,0.5,10.0,10.0,10.0,10.0,10.0,98.0,44.0,$15.00,10439,45
61,68142,Private room,337021,2011-01-06,90%,0.91,10.0,9.0,10.0,10.0,10.0,96.0,29.0,$15.00,10249,70
74,86514,Private room,464827,2011-03-26,30%,0.48,9.0,10.0,9.0,9.0,8.0,92.0,80.0,$40.00,10997,44
75,87549,Private room,81113,2010-02-14,,1.82,9.0,10.0,10.0,10.0,10.0,94.0,48.0,$25.00,10963,167
94,139769,Private room,681637,2011-06-09,100%,2.54,10.0,10.0,10.0,9.0,10.0,96.0,55.0,$0.00,10117,226
96,145249,Private room,703493,2011-06-15,,1.41,9.0,9.0,9.0,9.0,9.0,94.0,70.0,$40.00,10247,107
98,149849,Private room,722460,2011-06-20,100%,0.54,8.0,10.0,10.0,9.0,8.0,90.0,40.0,$20.00,10119,47
100,153015,Private room,735823,2011-06-23,100%,1.61,9.0,10.0,10.0,10.0,7.0,88.0,52.0,$20.00,10437,127
104,157839,Private room,671536,2011-06-06,100%,2.96,10.0,10.0,10.0,10.0,10.0,96.0,29.0,$20.00,10551,252
111,167189,Private room,796727,2011-07-09,100%,4.21,10.0,9.0,10.0,10.0,10.0,95.0,49.0,$15.00,10997,374
114,169907,Private room,809715,2011-07-12,,0.32,10.0,10.0,10.0,10.0,10.0,100.0,30.0,$15.00,12161,13
115,170582,Private room,813767,2011-07-13,100%,0.88,10.0,10.0,10.0,10.0,10.0,96.0,23.0,$0.00,14197,15
116,170652,Private room,814026,2011-07-13,100%,0.07,9.0,10.0,10.0,10.0,10.0,90.0,40.0,$50.00,13355,5
117,170974,Private room,815530,2011-07-13,100%,0.63,9.0,9.0,10.0,10.0,9.0,93.0,35.0,$30.00,12053,48
120,174391,Private room,833209,2011-07-18,,0.03,,,,,,,42.0,$10.00,10115,1
128,176396,Private room,843558,2011-07-20,,0.48,10.0,9.0,10.0,10.0,9.0,94.0,20.0,$20.00,13407,11
134,181160,Private room,868282,2011-07-25,,4.36,10.0,10.0,10.0,10.0,10.0,98.0,39.0,$0.00,10967,385
136,183918,Private room,882529,2011-07-28,,0.19,8.0,9.0,9.0,9.0,9.0,84.0,35.0,$15.00,13187,15
139,185960,Private room,893191,2011-07-30,100%,0.16,9.0,9.0,10.0,10.0,9.0,93.0,29.0,$20.00,12043,14
