,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
1,3109,Entire home/apt,3631,2008-10-14,100%,0.29,10.0,10.0,10.0,10.0,10.0,100.0,75.0,$50.00,75014,7
2,5396,Entire home/apt,7903,2009-02-14,100%,1.29,10.0,10.0,10.0,10.0,9.0,94.0,115.0,$36.00,75004,148
3,7397,Entire home/apt,2626,2008-08-30,100%,2.47,9.0,10.0,10.0,10.0,9.0,94.0,115.0,$50.00,75004,231
4,7964,Entire home/apt,22155,2009-06-18,75%,0.06,10.0,10.0,10.0,10.0,10.0,96.0,99.0,$60.00,75009,6
7,9952,Entire home/apt,33534,2009-08-24,80%,0.24,10.0,10.0,10.0,10.0,10.0,99.0,70.0,$20.00,75011,17
8,10010,Entire home/apt,33995,2009-08-26,100%,1.33,10.0,10.0,10.0,10.0,10.0,99.0,135.0,$50.00,75011,144
9,10270,Entire home/apt,33995,2009-08-26,100%,1.46,10.0,10.0,10.0,10.0,10.0,97.0,105.0,$35.00,75011,147
10,10586,Entire home/apt,37107,2009-09-08,86%,0.38,9.0,9.0,10.0,10.0,10.0,96.0,80.0,$36.00,75018,41
12,10710,Entire home/apt,38170,2009-09-13,80%,0.36,9.0,10.0,10.0,10.0,9.0,88.0,85.0,$70.00,75008,38
15,11265,Entire home/apt,41718,2009-09-28,100%,0.43,10.0,10.0,9.0,9.0,10.0,95.0,100.0,$70.00,75018,13
16,11487,Entire home/apt,42666,2009-10-01,100%,0.03,9.0,10.0,10.0,10.0,10.0,94.0,70.0,$60.00,75011,2
18,11848,Entire home/apt,44626,2009-10-09,100%,2.98,9.0,9.0,10.0,10.0,9.0,89.0,79.0,$25.00,75011,293
21,14011,Entire home/apt,55023,2009-11-17,100%,0.16,10.0,10.0,9.0,9.0,10.0,95.0,95.0,$42.00,75009,17
23,14757,Entire home/apt,57954,2009-11-27,100%,2.02,9.0,9.0,9.0,9.0,9.0,91.0,75.0,$20.00,75018,193
24,16455,Entire home/apt,64054,2009-12-18,100%,0.3,8.0,9.0,10.0,9.0,8.0,90.0,55.0,$50.00,75013,16
25,16457,Entire home/apt,64057,2009-12-18,100%,3.11,9.0,10.0,10.0,10.0,9.0,92.0,78.0,$20.00,75004,331
26,16469,Entire home/apt,64075,2009-12-18,100%,1.09,9.0,10.0,10.0,10.0,8.0,90.0,59.0,$10.00,75010,118
28,17283,Entire home/apt,67010,2010-01-01,100%,0.64,9.0,9.0,8.0,9.0,8.0,87.0,105.0,$30.00,75010,49
