,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
12621,18612697,Private room,49435601,2015-11-19,,1.43,10.0,9.0,10.0,10.0,10.0,98.0,0.0,$10.00,12277,26
14398,20382969,Private room,34385521,2015-05-27,,0.07,10.0,10.0,10.0,10.0,10.0,100.0,0.0,$20.00,10249,1
14742,20671210,Entire home/apt,1210739,2011-09-26,,0.67,9.0,9.0,10.0,10.0,10.0,100.0,0.0,$0.00,12681,3
14241,20218037,Private room,83835882,2016-07-14,,5.11,9.0,10.0,10.0,10.0,9.0,91.0,0.0,$10.00,10117,70
14795,20717658,Entire home/apt,127309004,2017-04-24,,0.32,7.0,9.0,7.0,6.0,10.0,75.0,0.0,$70.00,10245,4
14351,20317884,Entire home/apt,23943422,2014-11-19,,0.07,10.0,10.0,10.0,10.0,10.0,100.0,0.0,$15.00,10405,1
17054,22739713,Private room,167202681,2018-01-11,100%,9.32,9.0,10.0,10.0,10.0,8.0,89.0,1.0,$10.00,10557,87
16153,21911198,Shared room,159867873,2017-11-23,100%,1.49,10.0,9.0,10.0,10.0,10.0,100.0,8.0,,12169,10
18548,24452824,Private room,80898392,2016-06-30,,5.3,10.0,10.0,10.0,10.0,10.0,98.0,8.0,$30.00,10969,35
10854,16298466,Private room,80898392,2016-06-30,,1.95,10.0,10.0,10.0,10.0,10.0,98.0,8.0,$30.00,10969,44
1651,2161434,Private room,8864348,2013-09-16,,0.02,10.0,10.0,10.0,8.0,10.0,100.0,8.0,,10243,1
2080,3109015,Shared room,1391772,2011-11-10,,0.3,9.0,9.0,9.0,9.0,9.0,91.0,9.0,$0.00,10243,16
2079,3108686,Shared room,1391772,2011-11-10,,0.38,9.0,9.0,9.0,9.0,8.0,82.0,9.0,$0.00,10243,20
2078,3108596,Shared room,1391772,2011-11-10,,0.36,9.0,10.0,9.0,9.0,9.0,91.0,9.0,$0.00,10243,19
7473,10961123,Private room,56855980,2016-01-31,,0.03,10.0,10.0,10.0,10.0,8.0,100.0,9.0,,13357,1
21786,28996273,Shared room,190098008,2018-05-17,88%,2.0,7.0,9.0,8.0,8.0,6.0,70.0,9.0,,10963,2
21844,29045424,Shared room,190098008,2018-05-17,88%,1.0,10.0,10.0,10.0,10.0,10.0,100.0,9.0,,10963,1
17033,22715135,Private room,55574857,2016-01-21,,0.63,10.0,9.0,10.0,10.0,9.0,100.0,9.0,,13351,6
290,265444,Shared room,1391772,2011-11-10,,0.96,9.0,9.0,9.0,9.0,8.0,87.0,9.0,$0.00,10243,73
289,265433,Shared room,1391772,2011-11-10,,0.42,9.0,9.0,9.0,9.0,9.0,83.0,9.0,$0.00,10243,25
288,265416,Shared room,1391772,2011-11-10,,0.73,8.0,8.0,9.0,9.0,8.0,82.0,9.0,$0.00,10243,58
287,265408,Shared room,1391772,2011-11-10,,0.09,8.0,8.0,10.0,9.0,9.0,92.0,9.0,$0.00,10243,5
286,265402,Shared room,1391772,2011-11-10,,0.23,8.0,9.0,9.0,9.0,8.0,84.0,9.0,$0.00,10243,10
1767,2382613,Private room,6417948,2013-05-16,,0.09,10.0,10.0,10.0,9.0,10.0,95.0,9.0,$30.00,14532,5
18723,24730795,Entire home/apt,10588246,2013-12-12,100%,1.01,10.0,10.0,10.0,10.0,9.0,97.0,9.0,,10247,6
12152,18028772,Private room,8274829,2013-08-20,,0.63,10.0,9.0,10.0,10.0,9.0,98.0,9.0,$320.00,14167,11
