,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
0,2015,Entire home/apt,2217,2008-08-18,96%,3.76,9.0,10.0,10.0,10.0,9.0,93.0,60.0,$30.00,10119,118
2,3176,Entire home/apt,3718,2008-10-19,100%,1.25,9.0,10.0,9.0,9.0,9.0,92.0,90.0,$50.00,10405,143
5,9991,Entire home/apt,33852,2009-08-25,100%,0.15,10.0,10.0,10.0,10.0,10.0,100.0,180.0,$80.00,10405,6
6,14325,Entire home/apt,55531,2009-11-18,100%,0.23,9.0,9.0,10.0,9.0,10.0,93.0,70.0,$0.00,10437,23
8,16644,Entire home/apt,64696,2009-12-20,100%,0.47,9.0,9.0,10.0,10.0,10.0,94.0,90.0,$50.00,10997,48
10,17904,Entire home/apt,68997,2010-01-08,,2.1,9.0,10.0,10.0,10.0,9.0,96.0,49.0,$50.00,12047,223
11,20858,Entire home/apt,71331,2010-01-18,100%,0.75,9.0,10.0,8.0,9.0,9.0,87.0,129.0,$49.00,10435,56
12,21869,Entire home/apt,64696,2009-12-20,100%,0.61,9.0,9.0,9.0,10.0,10.0,95.0,70.0,$40.00,10997,60
13,22415,Entire home/apt,86068,2010-02-27,75%,0.59,9.0,10.0,10.0,10.0,9.0,94.0,98.0,$50.00,10999,61
14,22677,Entire home/apt,87357,2010-03-02,100%,2.27,9.0,10.0,10.0,10.0,9.0,94.0,160.0,$40.00,10119,223
15,23834,Entire home/apt,94918,2010-03-17,80%,0.94,9.0,9.0,9.0,9.0,9.0,87.0,65.0,$50.00,10965,96
16,24569,Entire home/apt,99662,2010-03-27,100%,0.18,10.0,10.0,9.0,10.0,10.0,94.0,90.0,$35.00,10405,18
17,25653,Entire home/apt,99662,2010-03-27,100%,0.05,10.0,10.0,10.0,10.0,10.0,100.0,90.0,$55.00,10405,5
18,26543,Entire home/apt,112675,2010-04-23,,1.63,9.0,10.0,9.0,9.0,9.0,91.0,197.0,$50.00,10437,163
19,28156,Entire home/apt,55531,2009-11-18,100%,0.29,9.0,9.0,10.0,10.0,10.0,92.0,70.0,,10437,28
20,28268,Entire home/apt,121580,2010-05-10,,0.33,9.0,9.0,9.0,8.0,10.0,91.0,90.0,$50.00,10247,30
21,28711,Entire home/apt,84157,2010-02-22,74%,0.02,10.0,10.0,10.0,10.0,10.0,100.0,60.0,$30.00,12045,1
22,29279,Entire home/apt,54283,2009-11-14,100%,0.7,9.0,10.0,10.0,10.0,10.0,96.0,130.0,$80.00,10437,69
23,30295,Entire home/apt,485838,2011-04-05,100%,2.42,9.0,10.0,10.0,10.0,10.0,95.0,100.0,$40.00,10437,240
25,33043,Entire home/apt,143180,2010-06-12,100%,1.44,9.0,9.0,10.0,9.0,9.0,89.0,62.0,$20.00,10557,144
26,35642,Entire home/apt,153252,2010-06-27,,0.01,,,,,,,55.0,$50.00,10437,1
29,37052,Entire home/apt,149093,2010-06-21,100%,3.04,9.0,10.0,10.0,10.0,10.0,95.0,52.0,$30.00,10435,307
31,38074,Entire home/apt,163384,2010-07-11,,1.03,9.0,9.0,9.0,9.0,9.0,89.0,80.0,,10405,102
